Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,name,region,sub-region,Terrorist_attacks
Sweden,1.387,1.487,1.009,0.574,0.267,0.373,Sweden,Europe,Northern Europe,12.0
Zambia,0.578,1.058,0.426,0.431,0.247,0.087,Zambia,Africa,Sub-Saharan Africa,1419.095238
Jordan,0.837,1.225,0.815,0.383,0.11,0.13,Jordan,Asia,Western Asia,10.0
Norway,1.488,1.582,1.028,0.603,0.271,0.341,Norway,Europe,Northern Europe,1.0
Kenya,0.512,0.983,0.581,0.431,0.372,0.053,Kenya,Africa,Sub-Saharan Africa,270.0
Northern Cyprus,1.263,1.252,1.042,0.417,0.191,0.162,Northern Cyprus,Asia,Western Asia,585.4347826
Armenia,0.85,1.055,0.815,0.283,0.095,0.064,Armenia,Asia,Western Asia,4.0
Estonia,1.237,1.528,0.874,0.495,0.103,0.161,Estonia,Europe,Northern Europe,2.0
Venezuela,0.96,1.427,0.805,0.154,0.064,0.047,Venezuela,Americas,Latin America and the Caribbean,8.0
Kuwait,1.5,1.319,0.808,0.493,0.142,0.097,Kuwait,Asia,Western Asia,3.0
Afghanistan,0.35,0.517,0.361,0.0,0.158,0.025,Afghanistan,Asia,Southern Asia,6023.0
Honduras,0.642,1.236,0.828,0.507,0.246,0.078,Honduras,Americas,Latin America and the Caribbean,3.0
Cyprus,1.263,1.223,1.042,0.406,0.19,0.041,Cyprus,Asia,Western Asia,19.0
Morocco,0.801,0.782,0.782,0.418,0.036,0.076,Morocco,Africa,Northern Africa,2.0
Malta,1.3,1.52,0.999,0.564,0.375,0.151,Malta,Europe,Southern Europe,2.0
Japan,1.327,1.419,1.088,0.445,0.069,0.14,Japan,Asia,Eastern Asia,8.0
Yemen,0.287,1.163,0.463,0.143,0.108,0.077,Yemen,Asia,Western Asia,1885.0
Sri Lanka,0.949,1.265,0.831,0.47,0.244,0.047,Sri Lanka,Asia,Southern Asia,22.0
Slovakia,1.246,1.504,0.881,0.334,0.121,0.014,Slovakia,Europe,Eastern Europe,125.6111111
Haiti,0.323,0.688,0.449,0.026,0.419,0.11,Haiti,Americas,Latin America and the Caribbean,1419.095238
Denmark,1.383,1.573,0.996,0.592,0.252,0.41,Denmark,Europe,Northern Europe,2.0
Latvia,1.187,1.465,0.812,0.264,0.075,0.064,Latvia,Europe,Northern Europe,125.6111111
Myanmar,0.71,1.181,0.555,0.525,0.566,0.172,Myanmar,Asia,South-eastern Asia,117.0
Gabon,1.057,1.183,0.571,0.295,0.043,0.055,Gabon,Africa,Sub-Saharan Africa,122.0
Nepal,0.446,1.226,0.677,0.439,0.285,0.089,Nepal,Asia,Southern Asia,197.0
Iran,1.1,0.842,0.785,0.305,0.27,0.125,Iran,Asia,Southern Asia,37.0
Algeria,1.002,1.16,0.785,0.086,0.073,0.114,Algeria,Africa,Northern Africa,166.0
Croatia,1.155,1.266,0.914,0.296,0.119,0.022,Croatia,Europe,Southern Europe,2.0
Mauritania,0.57,1.167,0.489,0.066,0.106,0.088,Mauritania,Africa,Sub-Saharan Africa,2.0
South Sudan,0.306,0.575,0.295,0.01,0.202,0.091,South Sudan,Africa,Sub-Saharan Africa,63.0
United Arab Emirates,1.503,1.31,0.825,0.598,0.262,0.182,United Arab Emirates,Asia,Western Asia,4.0
Libya,1.044,1.303,0.673,0.416,0.133,0.152,Libya,Africa,Northern Africa,1448.0
Albania,0.947,0.848,0.874,0.383,0.178,0.027,Albania,Europe,Southern Europe,9.0
United Kingdom,1.333,1.538,0.996,0.45,0.348,0.278,United Kingdom,Europe,Northern Europe,339.0
China,1.029,1.125,0.893,0.521,0.058,0.1,China,Asia,Eastern Asia,37.0
Congo (Brazzaville),0.673,0.799,0.508,0.372,0.105,0.093,Congo (Brazzaville),Africa,Sub-Saharan Africa,122.0
